genero_pedido,humor,acompanhado,duracao_preferida,disposicao,genero_recomendado
misterio,curioso,amigos,longo,pensar,suspense
misterio,calmo,sozinho,longo,pensar,drama
musica,animado,amigos,medio,curtir,musica
musica,romantico,casal,medio,curtir,musica
musica,animado,sozinho,curto,curtir,musica
musica,calmo,casal,medio,curtir,musica
musica,animado,amigos,longo,curtir,musica
musica,romantico,casal,longo,curtir,musica
musica,calmo,sozinho,medio,curtir,musica
musica,romantico,casal,longo,curtir,romance
musica,animado,amigos,medio,curtir,comedia
acao,animado,familia,longo,curtir,acao
